yearbook_year,page,name,last_name,prefix,suffix,gender,position,position_information,organization,group,conference,institution_name,location,region
1883,1,Seventh-day Adventist Publishing Association,,,,,Publisher,,Seventh-day Adventist Publishing Association,Publishing Association,General Conference,Seventh-day Adventist Publishing Association,"Battle Creek, Mich.",United States
1883,2,Committee,,,,,Publishing Committee,Prepared the Seventh-day Adventist Year Book,S. D. A. Publishing Association,,General Conference,S. D. A. Publishing Association,"Rome, N. Y.",United States
1883,4,J. N. Andrews,Andrews,Eld.,,male,Ship Missionary,"50 Sylvester Street, Hull, England",General Conference,General Conference Directories,General Conference,,"Bale, Switzerland",Europe
1883,4,J. Ertzenberger,Ertzenberger,Eld.,,male,,,General Conference,General Conference Directories,General Conference,,"Vohinkle, bei Elberfeld, Prussia",Europe
1883,4,J. G. Matteson,Matteson,Eld.,,male,,,General Conference,General Conference Directories,General Conference,,"Christiana, Norway",Europe
1883,4,G. H. Bell,Bell,,,male,President,,General Sabbath-School Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,A. B. Oyen,Oyen,,,male,Vice-President,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,D. A. Robinson,Robinson,,,male,Recording Secretary,,General Sabbath-School Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,Eva Bell Giles,Giles,,,female,Corresponding Secretary,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,Nellie B. Richmond,Richmond,,,female,Assistant Corresponding Secretary,,General Sabbath-School Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,G. H. Bell,Bell,,,male,Executive Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,A. B. Oyen,Oyen,,,male,Executive Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,J. O. Corliss,Corliss,,,male,Executive Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,M. H. Brown,Brown,,,male,Executive Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Watertown, N.Y.",United States
1883,4,O. A. Olsen,Olsen,,,male,Executive Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Swan Lake, Turner Co., D.T.",United States
1883,4,G. H. Bell,Bell,,,male,Publishing Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,A. B. Oyen,Oyen,,,male,Publishing Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,U. Smith,Smith,,,male,Publishing Committee,,General Sabbath-School Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,J. H. Kellogg,Kellogg,,M.D.,male,President,,National Health and Temperance,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,Mrs. J. H. Kellogg,Kellogg,Mrs.,,female,Secretary and Treasurer,,National Health and Temperance,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,J. H. Kellogg,Kellogg,,M.D.,male,Executive Committee,,National Health and Temperance,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,S. N. Haskell,Haskell,,,male,Executive Committee,,National Health and Temperance,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,W. C. White,White,,,male,Executive Committee,,National Health and Temperance,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,Geo. I. Butler,Butler,,,male,President,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,H. W. Kellogg,Kellogg,,,male,Vice-President,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,Mrs. M. J. Chapman,Chapman,Mrs.,,female,Secretary,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,A. R. Henry,Henry,,,male,Treasurer,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,W. C. Sisley,Sisley,,,male,Auditor,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,Geo. I. Butler,Butler,,,male,Publishing Committee,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,U. Smith,Smith,,,male,Publishing Committee,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,G. W. Amadon,Amadon,,,male,Publishing Committee,,Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Battle Creek, Mich.",United States
1883,4,S. N. Haskell,Haskell,,,male,President,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,W. C. White,White,,,male,Vice-President,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,W. K. Vickery,Vickery,,,male,Secretary,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,W. N. Glenn,Glenn,,,male,Auditor,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,S. N. Haskell,Haskell,,,male,Publishing Committee,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,W. C. White,White,,,male,Publishing Committee,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,J. H. Waggoner,Waggoner,,,male,Publishing Committee,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,S. N. Haskell,Haskell,,,male,Directors,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"South Lancaster, Mass.",United States
1883,4,W. C. White,White,,,male,Directors,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,J. Morrison,Morrison,,,male,Directors,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Healdsburg, Cal.",United States
1883,4,M. C. Israel,Israel,,,male,Directors,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,C. H. Jones,Jones,,,male,Directors,,Pacific Seventh-Day Adventist Publishing Association,General Conference Directories,General Conference,,"Oakland, Cal.",United States
1883,4,S. N. Haskell,Haskell,,,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"South Lancaster, Mass.",United States
1883,4,J. H. Kellogg,Kellogg,,M.D.,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"Battle Creek, Mich.",United States
1883,4,A. R. Henry,Henry,,,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"Battle Creek, Mich.",United States
1883,4,W. H. Hall,Hall,,,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"Battle Creek, Mich.",United States
1883,4,G. H. Murphy,Murphy,,,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"Battle Creek, Mich.",United States
1883,4,L. N. Hall,Hall,,,male,Board of Directors,,Health Reform Institute,General Conference Directories,General Conference,Health Reform Institute,"Battle Creek, Mich.",United States
